permit id,address,description,category,value,issue date,location
6380128,1804 25TH AVE,"Establish use as and construct west two unit townbouse with surface parking, per plan (Establish use as and construct (2) two unit townhouses with surface parking, per plan- processing for 2APs under 6380128)",MULTIFAMILY,347002,2014-06-10 00:00:00,"{'latitude': '47.61790005', 'longitude': '-122.29963652', 'needs_recoding': False}"
6401678,1806 25TH AVE,"Establish use as and construct East two unit townbouse with surface parking, per plan (Establish use as and construct (2) two unit townhouses with surface parking, per plan- processing for 2APs under 6380128)",MULTIFAMILY,347002,2014-06-10 00:00:00,"{'latitude': '47.61790205', 'longitude': '-122.29937804', 'needs_recoding': False}"
6398428,4209 NE 123RD ST,Establish use and construct single family residence with attached garage per plan.,SINGLE FAMILY / DUPLEX,338777,2014-06-10 00:00:00,"{'latitude': '47.71699611', 'longitude': '-122.28200999', 'needs_recoding': False}"
6365215,1450 MAGNOLIA BLVD W,Establish use as single family residence and construct one family dwelling per plan.,SINGLE FAMILY / DUPLEX,597790,2014-06-10 00:00:00,"{'latitude': '47.63321755', 'longitude': '-122.39658879', 'needs_recoding': False}"
6367752,810 DEXTER AVE N,"Phased project: Construction of a residential and retail building with below grade parking, and occupy per plans.",MULTIFAMILY,48246251,2014-06-10 00:00:00,"{'latitude': '47.62677806', 'longitude': '-122.34171523', 'needs_recoding': False}"
6391190,6508 39TH AVE NE,Establish use as and construct new single family residence with attached garage/per plan.,SINGLE FAMILY / DUPLEX,300000,2014-06-10 00:00:00,"{'latitude': '47.67608572', 'longitude': '-122.28573385', 'needs_recoding': False}"
6422234,4521 46TH AVE NE,"Construct new garage, per subject to feld inspection",SINGLE FAMILY / DUPLEX,23000,2014-06-11 00:00:00,"{'latitude': '47.66199433', 'longitude': '-122.27863772', 'needs_recoding': False}"
6408912,2018 NW 60TH ST,"Establish use as rowhouse and Construct duplex with attached parking, per plan.",SINGLE FAMILY / DUPLEX,390271,2014-06-11 00:00:00,"{'latitude': '47.67253186', 'longitude': '-122.3831571', 'needs_recoding': False}"
6405180,6744 ALONZO AVE NW,Construct west single family resididence this permit. (Establish use and construct (1) duplex and (1) single family residence with attached garages per plan. Review and process for (2) A/P's under 6394909 per plan..,SINGLE FAMILY / DUPLEX,229291,2014-06-11 00:00:00,"{'latitude': '47.67907198', 'longitude': '-122.37495972', 'needs_recoding': False}"
6394909,6742 ALONZO AVE NW,Construct east duplex this permit. (Establish use and construct (1) duplex and (1) single family residence with attached garages per plan. Review and process for (2) A/P's under 6394909 per plan.,MULTIFAMILY,379070,2014-06-11 00:00:00,"{'latitude': '47.67909366', 'longitude': '-122.37469852', 'needs_recoding': False}"
6345665,2011 E DENNY WAY,"Establish use as townhouses and construct 4-unit townhouse, and occupy, per plans",MULTIFAMILY,976016,2014-06-11 00:00:00,"{'latitude': '47.61833514', 'longitude': '-122.30565841', 'needs_recoding': False}"
6384026,4024 19TH AVE SW,Establish use as and Construct new single family residence with attached garage/per plan. (Environmental review under project 3016657.),SINGLE FAMILY / DUPLEX,269117,2014-06-11 00:00:00,"{'latitude': '47.56754374', 'longitude': '-122.35736287', 'needs_recoding': False}"
6380316,6917 CALIFORNIA AVE SW,"Establish use as apartments and construct apartment building without parking, and occupy, per plan.",MULTIFAMILY,993378,2014-06-12 00:00:00,"{'latitude': '47.5417339', 'longitude': '-122.38756813', 'needs_recoding': False}"
6415193,6857 17TH AVE NE,Build new garage per floor plan subject to field inspection (STFI),SINGLE FAMILY / DUPLEX,15000,2014-06-13 00:00:00,"{'latitude': '47.67928213', 'longitude': '-122.31018846', 'needs_recoding': False}"
6402677,2429 8TH AVE N,"Establish use as and construct southwest two-unit townhouse, per plan (Establish use as and construct four two-unit townhouses with surface parking, per plan - processing for 4 APs under 6355490)",SINGLE FAMILY / DUPLEX,370525,2014-06-13 00:00:00,"{'latitude': '47.64041495', 'longitude': '-122.34334465', 'needs_recoding': False}"
6355490,2433 8TH AVE N,"Establish use as and construct northwest two-unit townhouse, per plan (Establish use as and construct four two-unit townhouses with surface parking, per plan - processing for 4 APs under 6355490)",SINGLE FAMILY / DUPLEX,370525,2014-06-13 00:00:00,"{'latitude': '47.64054827', 'longitude': '-122.34335207', 'needs_recoding': False}"
6402678,2425 8TH AVE N,"Establish use as and construct southeast two-unit townhouse, per plan (Establish use as and construct four two-unit townhouses with surface parking, per plan - processing for 4 APs under 6355490)",SINGLE FAMILY / DUPLEX,376532,2014-06-13 00:00:00,"{'latitude': '47.64028608', 'longitude': '-122.34306904', 'needs_recoding': False}"
6402676,2437 8TH AVE N,"Establish use as and construct northeast two-unit townhouse, per plan (Establish use as and construct four two-unit townhouses with surface parking, per plan - processing for 4 APs under 6355490)",SINGLE FAMILY / DUPLEX,376532,2014-06-13 00:00:00,"{'latitude': '47.64048395', 'longitude': '-122.34331419', 'needs_recoding': False}"
6372768,908 13TH AVE,"Construct a 4-UNIT TOWNHOME with two ADU's this permit and occupy, per plan. No parking required.(Establish use as townhomes and construct one duplex with two ADU's, one 4-unit townhome with two ADU's, with two surface parking spaces off alley, and one single family residence/review & process for 3 AP's under #6372768).",MULTIFAMILY,516722,2014-06-13 00:00:00,"{'latitude': '47.61068225', 'longitude': '-122.31492052', 'needs_recoding': False}"
6396960,904 13TH AVE,"Construct SW SINGLE FAMILY RESIDENCE without parking this permit occupy, per plan. (Establish use as townhomes and construct one duplex and one 4-unit townhome without parking and one single family residence/review & process for 3 AP's under #6372768).",SINGLE FAMILY / DUPLEX,136946,2014-06-13 00:00:00,"{'latitude': '47.61069701', 'longitude': '-122.31521137', 'needs_recoding': False}"
6396959,906 13TH AVE,"Construct CENTER DUPLEX without parking this permit occupy, per plan. (Establish use as townhomes and construct one duplex and one 4-unit townhome without parking and one single family residence/review & process for 3 AP's under #6372768).",SINGLE FAMILY / DUPLEX,301719,2014-06-13 00:00:00,"{'latitude': '47.61068449', 'longitude': '-122.31499864', 'needs_recoding': False}"
